report_month,partner_type,institution_name,test_name,test_count,total_bill_amount,source_file,page_number,source_line,department,department_mapping_method,department_mapping_score,directory_test_name,histo_cyto_group,institution_included,monthly_hc_billed_tests,monthly_other_billed_tests,monthly_total_billed_tests,hc_dept_share_pct,other_dept_share_pct,hc_to_other_dept_ratio,inst_top20_rank,inst_monthly_hc_tests,inst_monthly_other_tests,inst_monthly_total_tests,inst_hc_share_pct,inst_other_share_pct,inst_hc_other_ratio_ab,is_outsourced,inst_outsourced_tests,inst_inhouse_tests,inst_outsourced_share_pct,inst_inhouse_share_pct,inst_outsourced_inhouse_ratio_ab
August 2025,Hospital,Beypore Neethi Diagnostic Centre,THYROID FUNCTION TEST,13,1300.0,August 2025.pdf,1,"1 THYROID FUNCTION TEST 13 1,300.00",CLINICAL BIOCHEMISTRY,user-provided manual override,1.0,THYROID FUNCTION TEST,Other departments,True,2003,18764,20767,9.65,90.35,0.1067,,,,,,,,False,,,,,
August 2025,Hospital,Beypore Neethi Diagnostic Centre,LIPID PROFILE,1,315.0,August 2025.pdf,1,2 LIPID PROFILE 1 315.00,CLINICAL BIOCHEMISTRY,user-provided manual override,1.0,LIPID PROFILE,Other departments,True,2003,18764,20767,9.65,90.35,0.1067,,,,,,,,False,,,,,
August 2025,Hospital,Beypore Neethi Diagnostic Centre,ALKALINE PHOSPHATASE,1,105.0,August 2025.pdf,1,3 ALKALINE PHOSPHATASE 1 105.00,CLINICAL BIOCHEMISTRY,exact directory name,1.0,ALKALINE PHOSPHATASE,Other departments,True,2003,18764,20767,9.65,90.35,0.1067,,,,,,,,False,,,,,
August 2025,Hospital,Beypore Neethi Diagnostic Centre,HDL CHOLESTEROL (DIRECT),1,175.0,August 2025.pdf,1,4 HDL CHOLESTEROL (DIRECT) 1 175.00,CLINICAL BIOCHEMISTRY,exact directory name,1.0,HDL CHOLESTEROL (DIRECT),Other departments,True,2003,18764,20767,9.65,90.35,0.1067,,,,,,,,False,,,,,
August 2025,Hospital,Beypore Neethi Diagnostic Centre,POTASSIUM ( k +),1,75.0,August 2025.pdf,1,5 POTASSIUM ( k +) 1 75.00,CLINICAL BIOCHEMISTRY,directory-name containment match,0.98,POTASSIUM,Other departments,True,2003,18764,20767,9.65,90.35,0.1067,,,,,,,,False,,,,,
August 2025,Hospital,Beypore Neethi Diagnostic Centre,AST (SGOT),1,105.0,August 2025.pdf,1,6 AST (SGOT) 1 105.00,CLINICAL BIOCHEMISTRY,user-provided manual override,1.0,AST (SGOT),Other departments,True,2003,18764,20767,9.65,90.35,0.1067,,,,,,,,False,,,,,
August 2025,Hospital,Beypore Neethi Diagnostic Centre,ALT (SGPT),1,105.0,August 2025.pdf,1,7 ALT (SGPT) 1 105.00,CLINICAL BIOCHEMISTRY,user-provided manual override,1.0,ALT (SGPT),Other departments,True,2003,18764,20767,9.65,90.35,0.1067,,,,,,,,False,,,,,
August 2025,Hospital,Beypore Neethi Diagnostic Centre,SODIUM ( Na + ),2,210.0,August 2025.pdf,1,8 SODIUM ( Na + ) 2 210.00,CLINICAL BIOCHEMISTRY,exact directory name,1.0,SODIUM ( Na + ),Other departments,True,2003,18764,20767,9.65,90.35,0.1067,,,,,,,,False,,,,,
August 2025,Hospital,Beypore Neethi Diagnostic Centre,URINE PROTEIN CREATININE RATIO,3,600.0,August 2025.pdf,1,9 URINE PROTEIN CREATININE RATIO 3 600.00,CLINICAL BIOCHEMISTRY,exact directory name,1.0,URINE PROTEIN CREATININE RATIO,Other departments,True,2003,18764,20767,9.65,90.35,0.1067,,,,,,,,False,,,,,
August 2025,Hospital,Beypore Neethi Diagnostic Centre,CEA,1,250.0,August 2025.pdf,1,10 CEA 1 250.00,CLINICAL BIOCHEMISTRY,exact directory name,1.0,CEA,Other departments,True,2003,18764,20767,9.65,90.35,0.1067,,,,,,,,False,,,,,
