report_month,partner_type,institution_name,reported_total_test_count,reported_total_bill_amount,source_file,page_number
August 2025,Hospital,Beypore Neethi Diagnostic Centre,108,12812.0,August 2025.pdf,1
August 2025,Hospital,DISTRICT TB CENTRE,28,5040.0,August 2025.pdf,2
August 2025,Hospital,Dr. Agarwals Eye Hospital,35,11216.0,August 2025.pdf,2
August 2025,Hospital,Dr. Balram Healthcare Private Limited,31,16030.0,August 2025.pdf,2
August 2025,Hospital,"Dr. Chandrakanth, Malabar Nethralaya",49,19066.0,August 2025.pdf,3
August 2025,Hospital,Dr. Shaji’s MRI & Medical Research Center,138,51949.0,August 2025.pdf,5
August 2025,Hospital,Dr. Shaji's Diagnostic Centre,150,73452.5,August 2025.pdf,6
August 2025,Hospital,Dr. Suresh's DiabCare India,92,27522.0,August 2025.pdf,7
August 2025,Hospital,Dr. Thaj Skin & Hair Clinic,27,15330.0,August 2025.pdf,7
August 2025,Hospital,M/s R-Cell Diagnostics & Research Centre Pvt Ltd,24,15624.0,August 2025.pdf,8
August 2025,Hospital,M/s. Access Labz,13,2640.0,August 2025.pdf,8
August 2025,Hospital,M/s. Almas Hospital Kottakkal,17,38486.0,August 2025.pdf,8
August 2025,Hospital,M/s. Amana Hospital Kuttiadi,68,23857.0,August 2025.pdf,9
August 2025,Hospital,M/s. APOLLO XRAY DIAGNOSTIC CENTRE KOYILANDY,185,85936.0,August 2025.pdf,11
August 2025,Hospital,M/s. Ariyallur Neethi Medicals,149,27338.0,August 2025.pdf,12
August 2025,Hospital,M/s. Aroha Clinic,12,7920.0,August 2025.pdf,12
August 2025,Hospital,M/s. Ascent ENT Hospital & Medical Centre,19,12152.0,August 2025.pdf,12
August 2025,Hospital,"M/s. Ascent ENT Hospital, Perintalmanna",61,37562.0,August 2025.pdf,13
August 2025,Hospital,"M/s. ASCENT ENT HOSPITAL,KOZHIKODE",18,11410.0,August 2025.pdf,13
August 2025,Hospital,M/s. Asha Hospital,28,16002.0,August 2025.pdf,13
August 2025,Hospital,M/s. Asten Specialty Orthopaedic Hospital,17,9961.0,August 2025.pdf,13
August 2025,Hospital,"M/s. Aster Lab, Aster MIMS Hospital, Calicut",9,1029.0,August 2025.pdf,14
August 2025,Hospital,M/s. Atholi Co-operative Hospital,91,18144.0,August 2025.pdf,14
August 2025,Hospital,M/s. Baby Memorial Hospital,18,21105.0,August 2025.pdf,15
August 2025,Hospital,M/s. Badakara Co-Operative Hospital,81,42022.0,August 2025.pdf,15
August 2025,Hospital,"M/s. Bio Lab, Koduvally, Calicut",255,44476.0,August 2025.pdf,17
August 2025,Hospital,"M/s. BM Hospital, Pulikkal",74,24181.0,August 2025.pdf,17
August 2025,Hospital,M/s. C.M. Hospital,112,63409.0,August 2025.pdf,18
August 2025,Hospital,M/s. Calicut Center for Surgery,5,4760.0,August 2025.pdf,18
August 2025,Hospital,M/s. Calicut Hospital & Nursing Home,306,87986.0,August 2025.pdf,20
August 2025,Hospital,M/s. Chalapuram Saroj Lab,825,391671.0,August 2025.pdf,24
August 2025,Hospital,M/s. Comtrust Charitable Trust Eye Hospital,236,77334.0,August 2025.pdf,24
August 2025,Hospital,M/s. Comtrust Vision Center,27,4401.0,August 2025.pdf,24
August 2025,Hospital,M/s. CPC Medical Laboratory,10,5103.0,August 2025.pdf,24
August 2025,Hospital,M/s. Dependable Diagnostics,253,69753.0,August 2025.pdf,26
August 2025,Hospital,M/s. Diamond Healthcare Vadakara,69,33834.0,August 2025.pdf,27
August 2025,Hospital,M/s. DMS Hospital,144,65811.0,August 2025.pdf,28
August 2025,Hospital,M/s. Doctors United,39,3492.0,August 2025.pdf,28
August 2025,Hospital,"M/s. Dr. Manoj's ENT,Super Speciality & Research",767,136083.0,August 2025.pdf,30
August 2025,Hospital,M/s. EMS Memorial Co-Operative Hospital Perambra,140,66006.0,August 2025.pdf,31
August 2025,Hospital,"M/s. EMS Memorial Co-operative Hospital, Mukkam",33,24492.0,August 2025.pdf,31
August 2025,Hospital,"M/s. Fathima Hospital, Bank Road, Calicut",258,116131.0,August 2025.pdf,33
August 2025,Hospital,M/s. GMC Orthotrust Hospital,187,47625.0,August 2025.pdf,34
August 2025,Hospital,M/s. Indira Gandhi Co-Operative Hospital,30,28840.0,August 2025.pdf,34
August 2025,Hospital,M/s. Institute of Chest Disease MCH,2,288.0,August 2025.pdf,34
August 2025,Hospital,M/s. Iqraa International Hospital&Research Centre,82,28168.0,August 2025.pdf,35
August 2025,Hospital,M/s. JAIHIND LAB NADAPURAM,153,90012.0,August 2025.pdf,36
August 2025,Hospital,"M/s. JAIHIND LAB,KUTTIADI",35,7950.0,August 2025.pdf,37
August 2025,Hospital,M/s. Janatha Medical laboratory,646,289227.0,August 2025.pdf,39
August 2025,Hospital,M/s. Jas Health Care,68,34656.0,August 2025.pdf,40
August 2025,Hospital,M/s. Jeeva Speciality Laboratory,3,1610.0,August 2025.pdf,40
August 2025,Hospital,M/s. Kalarikkal X-ray Laboratory & ECG,257,44979.0,August 2025.pdf,41
August 2025,Hospital,"M/s. Karuna Poly Clinic, Kakattil",189,38549.0,August 2025.pdf,42
August 2025,Hospital,M/s. KIMS Trust Hospital,137,80354.0,August 2025.pdf,43
August 2025,Hospital,M/s. Kommeri Neethi Lab,264,47290.0,August 2025.pdf,45
August 2025,Hospital,M/s. Kootalida Neethi Medical Lab,250,43516.0,August 2025.pdf,46
August 2025,Hospital,M/s. Koyas Hospital,49,28041.0,August 2025.pdf,46
August 2025,Hospital,M/s. Kozhikode District Co-Operative Hospital Ltd,215,141416.0,August 2025.pdf,48
August 2025,Hospital,"M/s. Life Care Lab, Koottalida, Calicut",57,8928.0,August 2025.pdf,48
August 2025,Hospital,M/s. Life Care Neethi Lab Payyoli,3,979.0,August 2025.pdf,48
August 2025,Hospital,M/s. M.B. Hospital Malappuram,117,84006.0,August 2025.pdf,50
August 2025,Hospital,M/s. M.K.Haji Orphanage Hospital,180,118390.0,August 2025.pdf,51
August 2025,Hospital,M/s. Mahe Neethi Lab & Diagnostic Centre,3,3710.0,August 2025.pdf,51
August 2025,Hospital,M/s. Malabar Hospitals,277,128826.0,August 2025.pdf,52
August 2025,Hospital,M/s. Mammi's Laboratory,31,13320.0,August 2025.pdf,53
August 2025,Hospital,M/s. Manohar Hospital,3,756.0,August 2025.pdf,53
August 2025,Hospital,M/s. MDC Laboratory,143,88451.0,August 2025.pdf,54
August 2025,Hospital,M/s. MEDICHECK DIAGNOSTICS,198,37985.0,August 2025.pdf,55
August 2025,Hospital,M/s. Mercy Hospital,162,103439.0,August 2025.pdf,57
August 2025,Hospital,M/s. Metromed International Cardiac Centre PVT.LTD,44,16733.0,August 2025.pdf,58
August 2025,Hospital,"M/s. Micro Diagnostics, Balussery",167,36554.0,August 2025.pdf,59
August 2025,Hospital,M/s. Micro Health Laboratories,113,118447.0,August 2025.pdf,59
August 2025,Hospital,M/s. Mother Health Care,143,30041.0,August 2025.pdf,60
August 2025,Hospital,M/s. MVR Cancer Centre & Research Institute,28,48144.0,August 2025.pdf,61
August 2025,Hospital,"M/s. NAHAS HOSPITAL,PARAPPANANGADI",415,230327.0,August 2025.pdf,62
August 2025,Hospital,M/s. Nanma Computerized Specialty Lab,118,16692.0,August 2025.pdf,63
August 2025,Hospital,M/s. Nazia Hospital Chettippadi,110,41507.0,August 2025.pdf,64
August 2025,Hospital,M/s. Ncare IVF Calicut,63,22015.0,August 2025.pdf,64
August 2025,Hospital,M/s. Neethi Lab Kadalundi,139,29589.0,August 2025.pdf,65
August 2025,Hospital,M/s. Neethi Lab Kunnamangalam,440,106707.0,August 2025.pdf,68
August 2025,Hospital,M/s. Neethi Medical Laboratory Feroke,626,184855.0,August 2025.pdf,70
August 2025,Hospital,"M/s. Neethi Poly Clinic, Nanminda",390,82196.0,August 2025.pdf,72
August 2025,Hospital,M/s. Orchid Medicity,243,80408.0,August 2025.pdf,74
August 2025,Hospital,M/s. Parambil Bazar Neethi lab,65,14137.0,August 2025.pdf,74
August 2025,Hospital,M/s. Parco Institute Medical Sciences,8,2128.0,August 2025.pdf,75
August 2025,Hospital,M/s. Red Crescent Hospital,476,290060.0,August 2025.pdf,76
August 2025,Hospital,M/s. S.B Medical Laboratory,52,26040.0,August 2025.pdf,77
